x,y_real,y_prediccion
-2.60364,4.68305,2.0255
-2.42167,2.75589,2.02597
0.910977,5.18991,3.21784
0.564256,3.13836,2.66187
-0.571315,0.325002,2.07622
2.50288,8.46614,7.71428
0.418323,1.52882,2.49358
-1.22226,2.4761,2.03841
1.02199,2.49793,3.4326
-0.330535,0.611843,2.11165
2.37945,8.41695,7.32013
-0.417468,1.5434,2.09652
0.93856,4.59956,3.2699
-1.16388,2.56105,2.04006
-0.0226409,1.17089,2.19846
0.513247,1.99815,2.59839
0.863572,4.54358,3.13061
2.02511,7.41409,6.07688
1.82685,6.52038,5.41617
0.0830088,2.21812,2.24579
2.5422,7.20245,7.83132
-1.01374,1.9541,2.04537
-1.74559,2.06517,2.02976
2.74347,9.86498,8.35569
2.65092,5.52751,8.13057
-2.05566,2.23242,2.02748
-2.31141,3.20187,2.02634
-1.91009,1.97054,2.0284
1.78228,4.26513,5.27788
0.083458,2.42413,2.24602
-1.1934,1.74321,2.0392
1.01843,4.80193,3.4255
-0.986559,2.32347,2.04652
-0.832125,0.0363377,2.05455
-0.247823,1.3475,2.12919
1.79034,6.65225,5.30258
0.877894,2.29151,3.15665
2.33958,7.58176,7.18558
1.50572,5.58114,4.51045
1.1077,2.86395,3.60694
-1.7849,1.4888,2.0294
1.97101,7.01624,5.89018
-1.65045,0.254447,2.03076
-2.91153,2.55476,2.02493
-1.33307,-1.92743,2.03577
2.54808,7.69738,7.84843
1.42821,3.85795,4.31989
2.48739,8.82187,7.66694
0.226199,1.40449,2.33084
-0.344403,2.02307,2.10902
-2.71301,3.09759,2.02527
0.257021,1.92243,2.35288
-0.912176,0.576836,2.05005
2.67409,9.34493,8.1895
1.87649,5.11206,5.57501
0.214822,0.860535,2.32307
2.24519,5.77048,6.85725
-1.88926,-0.425863,2.02855
-1.00245,2.996,2.04584
-2.95833,2.50842,2.02486
0.985393,4.29107,3.36031
1.96731,5.52833,5.87755
1.82399,5.05682,5.40716
-0.623738,3.21426,2.07078
-2.66266,2.62767,2.02537
-2.6804,2.64945,2.02533
-1.62854,2.06091,2.03101
0.572377,2.80938,2.67244
-0.787283,2.97916,2.05743
2.26157,6.25945,6.91499
1.67297,4.4746,4.95638
2.62586,8.79565,8.06489
2.0626,6.56553,6.20833
-0.61893,2.36803,2.07125
2.85282,8.22517,8.58676
2.35718,4.50297,7.24535
-0.531471,1.50002,2.0808
0.039898,1.1702,2.22508
-2.84449,2.49855,2.02503
-1.33553,0.519457,2.03572
-2.90793,3.56644,2.02494
-0.190985,1.87745,2.14339
1.6566,5.01491,4.91038
-2.13032,4.35441,2.0271
-1.06671,2.18918,2.0433
-0.901366,2.47375,2.05061
2.89258,9.68991,8.66181
-1.00505,1.26348,2.04573
-0.245592,2.26012,2.12972
0.150708,1.98263,2.28267
-2.14453,5.44773,2.02703
0.997427,3.07039,3.38393
1.99286,6.19244,5.96509
2.57803,9.70537,7.93399
1.86394,5.16209,5.53437
-2.16482,2.43293,2.02693
1.47714,4.06664,4.43913
1.6747,3.95752,4.96129
1.1897,4.08981,3.77992
-0.363777,2.49463,2.1055
-2.20973,-0.0208825,2.02674
2.57892,9.80361,7.9365
-0.885891,0.932781,2.05144
-2.07305,1.10201,2.02739
-2.6947,2.17417,2.0253
-1.53002,0.692472,2.03231
-2.12462,0.0959689,2.02713
-0.350585,1.89587,2.10788
-0.96055,2.73209,2.04769
0.205552,3.11645,2.31687
-2.27688,0.780366,2.02647
-0.508592,1.51526,2.08364
-2.07435,1.63646,2.02738
-1.48402,2.30328,2.033
0.791401,2.44641,3.00381
0.208016,1.66284,2.31851
-0.656258,0.139299,2.06772
-1.72974,1.40816,2.02991
-2.03199,2.49879,2.02762
1.99661,7.2622,5.97803
0.332511,3.56202,2.41318
1.77872,6.51728,5.26699
1.75523,5.44182,5.19597
-0.406143,0.127776,2.09833
-2.03764,2.75501,2.02758
-1.39416,1.07276,2.03455
-1.71718,2.65363,2.03004
1.13867,4.14583,3.67157
-0.245894,1.06024,2.12965
-1.84251,1.28691,2.02891
0.823131,2.03359,3.05861
1.65243,6.13206,4.89876
2.7596,7.61769,8.39212
-0.0769669,2.81558,2.17827
-1.62711,2.14406,2.03103
-1.35354,-0.414898,2.03534
2.09985,6.41961,6.34013
1.80452,5.28015,5.34635
1.29595,4.77383,4.01304
-1.35594,2.22402,2.03529
-1.12637,1.44529,2.04124
1.19987,5.02596,3.80178
1.10539,2.74185,3.60215
1.53861,5.49749,4.59416
2.07179,6.46378,6.24074
-2.15887,1.27702,2.02696
1.69789,5.22954,5.02747
1.54074,3.75873,4.59963
2.13481,6.76074,6.46451
-1.83168,2.13069,2.029
2.47583,7.2832,7.63121
-2.03776,2.83813,2.02758
-1.3063,2.76325,2.03635
2.69271,8.30565,8.23561
-2.1662,1.99112,2.02693
-1.71354,1.36857,2.03008
1.64416,4.28933,4.87579
1.09757,4.38012,3.58598
-0.302193,3.24184,2.11728
2.49181,9.06182,7.68051
-1.05257,0.37604,2.04383
2.87859,8.73578,8.63594
0.278818,0.745714,2.36934
-0.440107,2.60839,2.09306
1.88802,6.55348,5.61258
2.10165,6.6944,6.34651
-1.8211,2.12592,2.02908
-0.729375,1.48383,2.06161
-2.20944,2.71878,2.02674
1.04554,2.94712,3.47981
-0.723254,1.64307,2.06208
1.52575,4.39175,4.5612
-0.121488,1.74648,2.16353
-0.571883,0.524196,2.07615
-0.917137,2.64095,2.0498
