x,y_real,y_prediccion
-2.60364,4.68305,2.00455
-2.42167,2.75589,2.00456
0.910977,5.18991,3.37789
0.564256,3.13836,2.55515
-0.571315,0.325002,2.01107
2.50288,8.46614,7.81764
0.418323,1.52882,2.33589
-1.22226,2.4761,2.00509
1.02199,2.49793,3.66239
-0.330535,0.611843,2.02158
2.37945,8.41695,7.31772
-0.417468,1.5434,2.01656
0.93856,4.59956,3.45023
-1.16388,2.56105,2.00522
-0.0226409,1.17089,2.06363
0.513247,1.99815,2.46845
0.863572,4.54358,3.25261
2.02511,7.41409,5.92179
1.82685,6.52038,5.31165
0.0830088,2.21812,2.09495
2.5422,7.20245,7.96998
-1.01374,1.9541,2.00573
-1.74559,2.06517,2.00463
2.74347,9.86498,8.66434
2.65092,5.52751,8.36494
-2.05566,2.23242,2.00458
-2.31141,3.20187,2.00456
-1.91009,1.97054,2.0046
1.78228,4.26513,5.19602
0.083458,2.42413,2.09512
-1.1934,1.74321,2.00516
1.01843,4.80193,3.6536
-0.986559,2.32347,2.00586
-0.832125,0.0363377,2.00691
-0.247823,1.3475,2.02832
1.79034,6.65225,5.21637
0.877894,2.29151,3.2905
2.33958,7.58176,7.15254
1.50572,5.58114,4.61609
1.1077,2.86395,3.86442
-1.7849,1.4888,2.00462
1.97101,7.01624,5.73965
-1.65045,0.254447,2.00467
-2.91153,2.55476,2.00455
-1.33307,-1.92743,2.00491
2.54808,7.69738,7.99237
1.42821,3.85795,4.47894
2.48739,8.82187,7.75647
0.226199,1.40449,2.16417
-0.344403,2.02307,2.02065
-2.71301,3.09759,2.00455
0.257021,1.92243,2.18458
-0.912176,0.576836,2.00628
2.67409,9.34493,8.44329
1.87649,5.11206,5.44955
0.214822,0.860535,2.1572
2.24519,5.77048,6.76286
-1.88926,-0.425863,2.0046
-1.00245,2.996,2.00578
-2.95833,2.50842,2.00455
0.985393,4.29107,3.57086
1.96731,5.52833,5.72761
1.82399,5.05682,5.30399
-0.623738,3.21426,2.00985
-2.66266,2.62767,2.00455
