x,y_real,y_prediccion
-2.60364,4.68305,2.76798
-2.42167,2.75589,2.62368
0.910977,5.18991,3.35407
0.564256,3.13836,2.64901
-0.571315,0.325002,1.49517
2.50288,8.46614,7.6935
0.418323,1.52882,2.36216
-1.22226,2.4761,1.74946
1.02199,2.49793,3.57697
-0.330535,0.611843,1.51629
2.37945,8.41695,7.23958
-0.417468,1.5434,1.49784
0.93856,4.59956,3.40955
-1.16388,2.56105,1.71552
-0.0226409,1.17089,1.70727
0.513247,1.99815,2.54682
0.863572,4.54358,3.25843
2.02511,7.41409,6.02726
1.82685,6.52038,5.43102
0.0830088,2.21812,1.82458
2.5422,7.20245,7.84001
-1.01374,1.9541,1.63572
-1.74559,2.06517,2.10241
2.74347,9.86498,8.59534
2.65092,5.52751,8.24775
-2.05566,2.23242,2.33665
-2.31141,3.20187,2.53653
-1.91009,1.97054,2.22521
1.78228,4.26513,5.30607
0.083458,2.42413,1.82514
-1.1934,1.74321,1.7325
1.01843,4.80193,3.56982
-0.986559,2.32347,1.62259
-0.832125,0.0363377,1.55742
-0.247823,1.3475,1.54712
1.79034,6.65225,5.32842
0.877894,2.29151,3.28737
2.33958,7.58176,7.09561
1.50572,5.58114,4.60209
1.1077,2.86395,3.74924
-1.7849,1.4888,2.13139
1.97101,7.01624,5.85811
-1.65045,0.254447,2.03333
-2.91153,2.55476,3.0114
-1.33307,-1.92743,1.81759
2.54808,7.69738,7.86197
1.42821,3.85795,4.42444
2.48739,8.82187,7.63596
0.226199,1.40449,2.02641
-0.344403,2.02307,1.51242
-2.71301,3.09759,2.85469
0.257021,1.92243,2.0758
-0.912176,0.576836,1.58909
2.67409,9.34493,8.33483
1.87649,5.11206,5.57414
0.214822,0.860535,2.00868
2.24519,5.77048,6.76135
-1.88926,-0.425863,2.20946
-1.00245,2.996,1.63021
-2.95833,2.50842,3.04814
0.985393,4.29107,3.50357
1.96731,5.52833,5.84671
1.82399,5.05682,5.42289
-0.623738,3.21426,1.50173
-2.66266,2.62767,2.81479
-2.6804,2.64945,2.82885
-1.62854,2.06091,2.01766
0.572377,2.80938,2.66541
-0.787283,2.97916,1.54193
2.26157,6.25945,6.81863
1.67297,4.4746,5.01357
2.62586,8.79565,8.15358
2.0626,6.56553,6.14727
-0.61893,2.36803,1.50099
2.85282,8.22517,9.00282
2.35718,4.50297,7.15899
-0.531471,1.50002,1.49256
0.039898,1.1702,1.77338
-2.84449,2.49855,2.95862
-1.33553,0.519457,1.81916
-2.90793,3.56644,3.00857
-0.190985,1.87745,1.57655
1.6566,5.01491,4.97143
-2.13032,4.35441,2.39455
-1.06671,2.18918,1.66252
-0.901366,2.47375,1.58453
2.89258,9.68991,9.14934
-1.00505,1.26348,1.63147
-0.245592,2.26012,1.54814
0.150708,1.98263,1.91409
-2.14453,5.44773,2.40562
0.997427,3.07039,3.5277
1.99286,6.19244,5.92584
2.57803,9.70537,7.97407
1.86394,5.16209,5.53755
-2.16482,2.43293,2.42146
1.47714,4.06664,4.5357
1.6747,3.95752,5.01806
1.1897,4.08981,3.91576
-0.363777,2.49463,1.50763
-2.20973,-0.0208825,2.45659
2.57892,9.80361,7.97741
-0.885891,0.932781,1.57816
-2.07305,1.10201,2.35009
-2.6947,2.17417,2.84019
-1.53002,0.692472,1.94847
-2.12462,0.0959689,2.39012
-0.350585,1.89587,1.51082
-0.96055,2.73209,1.61046
0.205552,3.11645,1.99444
-2.27688,0.780366,2.50933
-0.508592,1.51526,1.49205
-2.07435,1.63646,2.3511
-1.48402,2.30328,1.91694
0.791401,2.44641,3.11203
0.208016,1.66284,1.99821
-0.656258,0.139299,1.50746
-1.72974,1.40816,2.09079
-2.03199,2.49879,2.31839
1.99661,7.2622,5.93756
0.332511,3.56202,2.20452
1.77872,6.51728,5.29622
1.75523,5.44182,5.23185
-0.406143,0.127776,1.49949
-2.03764,2.75501,2.32274
-1.39416,1.07276,1.85698
-1.71718,2.65363,2.08161
1.13867,4.14583,3.81184
-0.245894,1.06024,1.548
-1.84251,1.28691,2.1743
0.823131,2.03359,3.17652
1.65243,6.13206,4.96078
2.7596,7.61769,8.65575
-0.0769669,2.81558,1.65768
-1.62711,2.14406,2.01664
-1.35354,-0.414898,1.83066
2.09985,6.41961,6.26865
1.80452,5.28015,5.36799
1.29595,4.77383,4.13661
-1.35594,2.22402,1.8322
-1.12637,1.44529,1.69452
1.19987,5.02596,3.9366
1.10539,2.74185,3.74457
1.53861,5.49749,4.67982
2.07179,6.46378,6.177
-2.15887,1.27702,2.41681
1.69789,5.22954,5.07854
1.54074,3.75873,4.68489
2.13481,6.76074,6.38444
-1.83168,2.13069,2.1662
2.47583,7.2832,7.59315
-2.03776,2.83813,2.32283
-1.3063,2.76325,1.80072
2.69271,8.30565,8.4048
-2.1662,1.99112,2.42254
-1.71354,1.36857,2.07896
1.64416,4.28933,4.93971
1.09757,4.38012,3.72881
-0.302193,3.24184,1.52532
2.49181,9.06182,7.65237
-1.05257,0.37604,1.65521
2.87859,8.73578,9.09793
0.278818,0.745714,2.11188
-0.440107,2.60839,1.49517
1.88802,6.55348,5.60797
2.10165,6.6944,6.27455
-1.8211,2.12592,2.1583
-0.729375,1.48383,1.52459
-2.20944,2.71878,2.45636
1.04554,2.94712,3.62421
-0.723254,1.64307,1.52294
1.52575,4.39175,4.64924
-0.121488,1.74648,1.62237
-0.571883,0.524196,1.49522
-0.917137,2.64095,1.59121
-0.0491546,1.874,1.68217
1.52631,4.18972,4.65058
2.16302,7.58797,6.47919
-0.979252,3.4682,1.61914
1.99506,8.15733,5.93271
-2.9782,1.6538,3.0637
0.641332,1.48286,2.80556
2.69999,8.19441,8.43217
1.74555,5.41758,5.20558
-0.888774,2.40912,1.57933
-0.653052,1.1305,1.50684
1.0341,3.65682,3.60126
2.98089,8.94988,9.47025
-0.980442,0.469721,1.6197
-2.47203,1.85424,2.66358
-1.14468,2.30369,1.70468
-0.993041,-0.142487,1.62568
2.45137,6.73905,7.50277
-0.790643,1.85867,1.54303
2.96334,8.10637,9.40707
-2.85758,3.08712,2.96894
-1.67782,2.64918,2.05303
2.5933,7.8057,8.03132
-0.811291,1.70881,1.55001
1.19575,3.74496,3.92815
-2.62816,3.98962,2.78743
-0.865771,1.064,1.57014
1.63065,5.54909,4.9055
-0.82701,2.88647,1.55557
-0.384004,2.62888,1.50335
-2.89577,3.47373,2.99901
0.629114,3.58061,2.78064
2.47433,7.17563,7.5876
-2.67967,3.73113,2.82827
-1.69824,1.23162,2.06782
2.76782,8.07861,8.68652
-2.01714,2.24652,2.30695
-0.0120773,1.70188,1.71776
2.12564,5.39861,6.35391
-1.57348,2.5614,1.97873
-0.136041,2.68237,1.61185
-0.0633358,-1.49566,1.66944
0.253938,2.7051,2.07077
1.15936,3.79157,3.85384
-0.837947,0.435659,1.55956
-1.78449,1.18735,2.13109
1.84076,5.28498,5.4707
-2.59913,1.96496,2.7644
-1.25405,2.39189,1.76853
2.27288,6.45173,6.85837
-0.926518,2.46901,1.59526
-2.56514,5.14384,2.73743
-1.69403,3.59639,2.06477
1.20616,4.26406,3.94952
2.7164,8.7731,8.4938
-0.393865,-0.488802,1.50152
-2.14027,1.09175,2.4023
0.130982,1.02613,1.88688
-1.06158,1.0882,1.65986
-0.638611,2.4661,1.5042
0.306246,2.58078,2.15856
1.9793,5.40045,5.8837
-2.29995,2.55749,2.5275
-2.25344,2.24239,2.4909
-2.61804,2.83598,2.77941
2.39747,6.41794,7.30514
0.119314,4.38632,1.87122
2.4359,8.02686,7.44582
-1.80348,1.67311,2.14518
0.88959,3.16873,3.31097
-0.0323227,2.07133,1.6979
2.77468,9.27502,8.71215
2.89461,8.99434,9.15678
1.38733,5.01839,4.3336
2.75064,9.90365,8.6222
1.18732,2.47529,3.91089
-2.26953,3.37749,2.50355
2.2322,7.32691,6.71615
0.853476,3.13176,3.23801
1.42192,3.876,4.41035
-0.383967,1.2115,1.50336
-2.47945,2.72119,2.66946
-1.95817,2.2837,2.26178
-1.40306,1.876,1.86281
-0.712286,1.22763,1.52009
-2.68715,4.19634,2.83421
-2.30518,2.74335,2.53162
-1.79422,2.36426,2.1383
2.60066,7.85957,8.05894
1.14671,4.72496,3.82814
1.77073,4.88023,5.27423
-0.280776,-0.835306,1.53319
-1.14286,3.61872,1.70367
0.97153,3.64453,3.47576
-1.89583,1.06779,2.21442
-2.57781,3.98135,2.74749
1.38797,5.26948,4.33502
-0.960853,0.698831,1.6106
0.417027,2.05092,2.3597
-0.701227,2.52858,1.51733
2.94955,9.30922,9.35719
-2.11521,1.97519,2.38281
-1.57562,1.7393,1.98023
-0.972466,2.38143,1.61597
0.19888,1.64231,1.9843
0.39332,2.54998,2.31515
-1.11977,1.55175,1.69089
-2.47384,2.00035,2.66501
2.18102,4.54277,6.54023
-2.5331,2.88042,2.71201
-1.1394,0.253446,1.70174
2.8287,8.84463,8.91342
-2.56408,3.77967,2.7366
-2.93688,3.0511,3.03131
-2.61818,2.20105,2.77952
-2.10514,1.76539,2.37498
-0.932182,1.15883,1.59774
1.60267,2.85689,4.83557
1.64408,4.62245,4.93949
1.85566,5.83773,5.51358
-1.56183,2.02889,1.97057
1.50545,4.69079,4.60147
2.21061,5.06865,6.64153
-2.03286,1.54755,2.31905
-0.295523,2.10813,1.52767
2.55015,7.77613,7.86971
1.19307,4.5516,3.92266
-0.168448,1.89045,1.5902
1.68719,5.17644,5.05053
0.796113,4.60918,3.12162
1.34037,4.33739,4.23141
-2.41045,1.94371,2.6148
-1.04529,1.74557,1.6515
-2.3679,3.86915,2.58114
-1.82892,2.49641,2.16414
2.52718,7.44052,7.78394
0.774154,3.93425,3.07691
-0.205935,1.58471,1.56813
-0.12128,0.968165,1.62253
0.000403007,1.09286,1.7305
0.399369,1.41438,2.32645
-2.35502,3.20391,2.57096
-1.16514,0.314563,1.71624
0.78284,2.81479,3.0946
0.57529,2.81132,2.6713
-1.84514,2.62891,2.17628
0.235809,2.06968,2.0416
1.79438,5.05207,5.33966
-2.16884,0.381565,2.4246
-1.86131,1.72768,2.18841
-0.985573,1.62922,1.62213
1.24686,5.68354,4.03366
2.13724,7.75116,6.39255
-1.39575,2.75355,1.85802
0.0326447,2.92461,1.76522
1.42595,4.20761,4.41937
-0.0641025,2.61447,1.66877
2.57353,8.13885,7.95723
-0.108347,3.08855,1.6323
0.33539,3.49631,2.20963
-0.555581,0.240439,1.49388
1.27763,4.61034,4.09799
1.21152,3.28328,3.96056
1.46766,2.91629,4.51393
2.13653,3.32131,6.39019
-1.81696,2.2809,2.15521
-1.68535,2.04174,2.05848
2.83808,10.7647,8.94823
0.319534,-0.116089,2.18166
0.534011,2.27655,2.58823
-2.16727,1.65973,2.42337
1.14765,4.1741,3.83005
-2.44301,1.98842,2.64058
-2.96292,3.01558,3.05174
0.79358,2.71086,3.11646
-0.827951,-0.604449,1.55591
1.95623,6.58887,5.81271
-0.907668,0.781439,1.58718
-1.69525,2.22496,2.06565
2.5397,8.37758,7.83069
-0.47485,2.50838,1.49269
-0.374769,1.85334,1.50521
-1.76893,2.47268,2.11958
-0.549609,1.40151,1.49348
2.19493,7.42519,6.58769
-1.6497,3.51504,2.03279
-1.2926,1.50061,1.79218
0.630774,2.29714,2.78403
1.41338,4.20873,4.39128
0.0779839,-0.0410349,1.81838
-0.187864,0.0296024,1.57838
0.19226,1.81127,1.97434
0.556718,6.33909,2.63382
-1.08584,0.947457,1.67258
-1.5927,1.73684,1.99224
-2.68841,2.86399,2.8352
-1.69564,0.712493,2.06594
2.13052,7.59472,6.37013
2.90725,10.0985,9.20311
1.45108,5.05527,4.47609
-1.24523,2.36232,1.7632
-1.47159,1.46776,1.90851
-2.47245,1.63704,2.66391
0.849608,1.98039,3.23018
0.158407,2.4541,1.92496
0.693025,3.58348,2.91121
2.26402,6.00431,6.82722
-2.74885,3.66937,2.88307
1.6784,4.9512,5.02764
0.396155,1.20506,2.32044
2.60116,8.50703,8.06082
2.86338,9.59594,9.04183
0.999677,1.57612,3.53222
1.14773,4.04925,3.83021
1.66315,5.96345,4.98825
-0.597659,2.38086,1.49804
-1.76493,2.64626,2.11663
1.80571,4.0878,5.37134
0.51363,2.50537,2.54758
0.642095,-0.263341,2.80712
-2.60842,2.48255,2.77178
1.11862,5.30733,3.77128
-1.83429,2.42933,2.16815
-0.301944,1.51562,1.5254
1.46988,4.43948,4.51902
-0.290966,0.94106,1.52933
1.63571,4.26319,4.91827
-1.60577,1.2898,2.00148
0.262832,0.593186,2.08533
-0.141279,2.26295,1.60819
-2.26577,0.955124,2.50059
-2.77727,3.58895,2.90554
2.5909,9.07785,8.02233
1.7967,4.10605,5.34613
1.34701,6.68667,4.24574
2.38316,9.28842,7.25306
-2.77783,2.34334,2.90599
-0.49235,1.22779,1.49215
-2.46952,4.02455,2.66159
-2.18796,2.77444,2.43954
1.07814,4.9358,3.68969
1.0179,3.44024,3.56876
-1.29209,3.39767,1.79187
0.689047,3.80538,2.90307
2.90554,9.37693,9.19685
-0.705175,2.40157,1.5183
2.52122,8.2177,7.76173
-2.19703,1.20472,2.44665
1.34932,2.97455,4.25072
2.68963,7.93805,8.39324
-1.33985,1.96319,1.8219
-2.00313,0.60061,2.29619
0.0517138,0.596733,1.78696
1.73179,3.5104,5.16854
-1.98125,3.30406,2.27942
-2.64181,2.54099,2.79826
2.45592,7.32922,7.51957
1.73029,6.41149,5.16452
2.29029,7.4278,6.91983
-2.08013,1.91085,2.35557
2.56551,7.20058,7.92719
1.42077,3.7701,4.40778
0.340785,4.53418,2.21923
-2.0302,1.45354,2.31701
0.596501,1.50676,2.71428
-2.77404,2.90907,2.903
1.25207,3.1095,4.0445
2.64848,7.25177,8.23858
-2.3352,2.37877,2.5553
0.223059,1.03986,2.02149
0.170301,1.56093,1.94201
-0.639704,1.87456,1.50439
0.658139,3.35393,2.83989
2.32039,6.35998,7.02686
-0.760152,3.23112,1.53342
1.55085,2.91133,4.70912
-0.0924068,2.47042,1.6449
-0.833911,1.48633,1.55808
-1.31318,4.3498,1.80503
-2.01048,2.26831,2.30183
-2.83272,3.16502,2.94934
-0.878901,2.33221,1.57534
-2.29109,1.84878,2.52052
0.0161745,1.46467,1.74716
1.51173,5.11549,4.61619
-1.88339,2.41081,2.20503
1.57044,3.35177,4.75647
1.08703,4.22844,3.70759
-1.67639,1.40996,2.052
1.75243,3.64489,5.22424
-2.26669,3.86292,2.50131
2.41883,6.80174,7.3832
-2.53203,3.35163,2.71116
1.19304,5.53227,3.9226
1.88452,4.73228,5.59766
1.6334,6.65071,4.91245
-2.13576,3.44079,2.39879
2.01188,5.40015,5.98545
-1.64229,3.51622,2.02748
-0.232914,2.51985,1.55416
0.536943,2.87633,2.5941
1.40397,4.75041,4.37036
-0.291464,1.10924,1.52914
1.21802,3.55168,3.97394
0.312885,2.02503,2.17006
-0.82275,0.961735,1.55404
-1.81014,4.34161,2.15014
2.07161,5.69125,6.17643
1.0485,4.20307,3.63015
-1.20708,1.92018,1.74049
-2.011,0.614004,2.30223
-2.04472,3.31559,2.3282
2.62162,8.61176,8.13765
-1.65,0.827953,2.03301
1.57087,5.73831,4.75752
1.26574,3.8689,4.07305
1.17423,1.99135,3.88413
-2.524,2.0438,2.70479
-2.62341,2.17132,2.78366
0.735906,3.36765,2.99886
-2.66627,5.69598,2.81765
-0.510064,2.41179,1.49206
-2.58978,2.6241,2.75698
1.42293,4.50869,4.41262
1.73733,5.32227,5.18342
